MasterID,ID,Mag,Magerr,RA,Dec,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
1138067069822,5042013806711021584,18.823122,0.153327793649713,233.5058,39.39954,2.71,0,5042013806711,53480.2980597336,1.09,30,853.333,3852.56,1196.699951,7,0,63.2,1.479,1.64,0
1138067069822,5042013806721021666,18.949122,0.161804167913749,233.50568,39.39955,3.31,0,5042013806721,53480.3065286805,1.07,30,861.01,3850.45,1070,8,0,-73.2,1.153,1.5,0
1138067069822,5042013806731021804,18.846175,0.154851420392084,233.50573,39.39947,2.56,0,5042013806731,53480.3150263196,1.06,30,846.482,3848.23,1172.099976,7,0,8.5,1.193,1.58,0
1138067069822,5042013806741021749,18.806833,0.151639474463984,233.50576,39.39953,3.19,0,5042013806741,53480.3234456019,1.04,30,855.736,3845.81,1225,10,0,6.7,1.396,1.54,0
1138067069822,5071113806711034127,18.672866,0.145974429312751,233.5052,39.39949,3.76,0,5071113806711,53562.1957087731,1.03,30,885.245,3946.96,1328.800049,17,0,11.2,1.55,1.96,0
1138067069822,5071113806721034070,18.662381,0.145317630333207,233.50575,39.39947,3.22,0,5071113806721,53562.202213611,1.04,30,892.337,3945.62,1341.800049,11,0,-10.8,1.244,2.02,0
1138067069822,5071113806731033747,18.76861,0.15230559263526,233.50574,39.39941,2.89,0,5071113806731,53562.208746111,1.05,30,874.459,3943.53,1213.699951,13,0,19.7,1.072,1.95,0
1138067069822,5071113806741033802,18.688982,0.147205598590215,233.50548,39.3995,3.19,0,5071113806741,53562.2153198146,1.06,30,883.565,3941.85,1305,13,0,47.7,1.217,2.05,0
1138067069822,5060513806711038397,18.845387,0.156784636996876,233.50568,39.3995,2.63,0,5060513806711,53526.2658119677,1.01,30,889.76,3905.88,1142.099976,8,0,-61.8,1.235,1.86,0
1138067069822,5060513806721034413,18.836629,0.156208693829326,233.50553,39.39944,2.01,0,5060513806721,53526.2741275462,1.01,30,897.899,3903.1,1150.900024,12,0,-5.5,1.181,2.32,0
1138067069822,5060513806731034335,18.723134,0.148774668352886,233.50549,39.39952,2.62,0,5060513806731,53526.2823641896,1.02,30,880.384,3901.41,1275.699951,12,0,-0.8,1.194,1.98,0
