MasterID,ID,Mag,Magerr,RA,Dec,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
1107070016241,5040610707011008876,18.963153,0.161291892648005,198.07011,6.34601,4,0,5040610707011,53466.2899180092,1.12,30,517.902,994.381,1077,11,0,-39.3,1.049,1.49,0
1107070016241,5040610707021008489,18.909369,0.157501849861316,198.06988,6.34608,3.86,0,5040610707021,53466.297988669,1.11,30,527.06,993.005,1131.300049,13,0,19.9,1.372,1.41,0
1107070016241,5040610707041008712,18.976923,0.162136502914758,198.06973,6.34598,3.65,0,5040610707041,53466.3142003589,1.1,30,526.986,988.717,1065.5,12,0,2.2,1.487,1.6,0
1107070016241,5120110707011009043,18.612957,0.147958478920899,198.0701,6.34592,4.2,0,5120110707011,53705.5096932757,1.79,30,531.504,1081.36,1290.800049,11,0,45.7,1.383,1.17,0
1107070016241,5120110707021008799,19.065516,0.18075194499798,198.07006,6.34597,4.22,0,5120110707021,53705.5163316899,1.71,30,533.092,1063.23,856.599976,8,0,3.7,1.29,1.02,0
1107070016241,5120110707031008905,18.723713,0.15433132328731,198.06996,6.34583,5.65,0,5120110707031,53705.5228725229,1.63,30,543.501,1089.19,1180.400024,12,0,-4.2,1.931,1.41,0
1107070016241,5120110707041008969,18.745826,0.155320421482263,198.06995,6.34645,6.35,0,5120110707041,53705.5295619676,1.57,30,524.281,1088.11,1164.699951,12,0,32.3,1.32,1.22,0
1107070016241,5121010707011008864,18.920605,0.165908119074856,198.0701,6.34584,5.4,0,5121010707011,53714.5000729514,1.62,30,476.514,1061.94,1016.599976,9,0,27.4,1.299,1.29,0
1107070016241,5121010707021009141,18.706431,0.150559763181964,198.06987,6.34597,6.39,0,5121010707021,53714.5095309489,1.52,30,476.056,1043.71,1243.699951,14,0,58.1,1.467,1.21,0
1107070016241,5121010707031009273,18.86837,0.160943869990247,198.07026,6.34596,4.85,0,5121010707031,53714.5189593057,1.45,30,488.589,1068.09,1081.800049,12,0,16.9,1.802,1.29,0
1107070016241,5121010707041009777,19.279526,0.194507615991585,198.07028,6.34605,4.91,0,5121010707041,53714.5283990162,1.38,30,464.918,1066.34,743,8,0,-3.2,1.363,1.09,0
1107070016241,5123010707011008818,19.047319,0.17395801450717,198.0699,6.34611,5.35,0,5123010707011,53734.4520727778,1.55,30,489.838,1059.76,924.099976,9,0,-34.3,1.321,0.94,0
1107070016241,5123010707021008618,19.423409,0.207468885050801,198.07034,6.34608,2.87,0,5123010707021,53734.4604674075,1.48,30,490.547,1042.18,657.5,5,0,6,1.366,1.31,0
1107070016241,5123010707031009152,19.043094,0.17277313102308,198.07006,6.34597,3.6,0,5123010707031,53734.4682428008,1.42,30,501.874,1065.9,936.799988,9,0,15.2,1.205,1.11,0
1107070016241,5123010707041009091,19.155556,0.181705013333342,198.07018,6.34606,3.17,0,5123010707041,53734.4760454977,1.37,30,481.264,1063.57,847.799988,8,0,-1.2,1.474,1.42,0
1107070016241,5070310707011006678,19.749286,0.254466183047712,198.07016,6.34583,2.91,0,5070310707011,53554.1553107984,1.25,30,551.817,1034.06,453.200012,3,0,-46.9,1.048,0.63,0
1107070016241,5070310707021007497,19.498994,0.224659865464866,198.06989,6.34614,4.86,0,5070310707021,53554.1617014003,1.28,30,560.398,1032.73,567.299988,5,0,9.5,1.633,1.04,0
1107070016241,5070310707031007750,19.196151,0.193814521146581,198.07016,6.34613,2.98,0,5070310707031,53554.1681834259,1.31,30,547.232,1031.4,748.099976,8,0,-44.6,1.27,0.94,0
1107070016241,5070310707041007357,19.321903,0.206450725742785,198.07022,6.34598,3.41,0,5070310707041,53554.1745940507,1.35,30,551.416,1030.24,663.599976,6,0,-9.7,1.19,1.23,0
1107070016241,5060710707011007389,19.079685,0.177857451735529,198.06978,6.34623,5.38,0,5060710707011,53528.2250176156,1.25,30,592.779,997.707,884.299988,7,0,20.6,2.026,1.2,0
1107070016241,5060710707021007507,18.805526,0.157354812464316,198.0702,6.34597,2.67,0,5060710707021,53528.2324632406,1.28,30,601.409,995.532,1133.5,8,0,24.4,1.014,1.35,0
1107070016241,5060710707031007222,19.53002,0.222174702453968,198.06988,6.3459,2.68,0,5060710707031,53528.2399248378,1.32,30,583.672,994.627,579,6,0,-66,1.378,1.05,0
1107070016241,5060710707041007394,19.097338,0.180537653050859,198.07011,6.34574,2.16,0,5060710707041,53528.2474966319,1.36,30,643.42,994.585,858.599976,7,0,-44.2,1.58,1.34,0
1107070016241,5050810707011009728,18.895269,0.160398171111382,198.07001,6.34589,3.04,0,5050810707011,53498.2425162154,1.11,30,529.479,1070.02,1089.400024,11,0,13.9,1.087,1.32,0
1107070016241,5050810707021009036,19.267782,0.190402047764502,198.07007,6.34603,2.85,0,5050810707021,53498.2495314931,1.11,30,535.119,1067.39,774.099976,9,0,29.2,1.099,1.42,0
1107070016241,5050810707031009361,18.544781,0.137955110152549,198.07005,6.34642,4.89,0,5050810707031,53498.2566075348,1.12,30,523.058,1066.03,1503.699951,13,0,13,1.28,1.57,0
1107070016241,5050810707041009666,19.317419,0.195597337528763,198.06996,6.346,3.37,0,5050810707041,53498.2636397109,1.13,30,527.112,1063.09,735.099976,8,0,-84.3,1.229,1.25,0
1107070016241,5053010707011008341,18.926467,0.169410949411713,198.06989,6.34603,4.9,0,5053010707011,53520.2544118865,1.28,30,541.902,978.041,974.5,7,0,10.4,1.32,1.28,0
1107070016241,5053010707021007914,18.995035,0.174403546447234,198.06987,6.34602,5.83,0,5053010707021,53520.2608522568,1.31,30,549.252,976.859,919.400024,10,0,45.5,1.162,0.83,0
1107070016241,5053010707031006548,18.824861,0.207721713812104,198.06996,6.34616,4.15,0,5053010707031,53520.2672867128,1.35,30,531.536,975.02,656,5,0,-81.3,1.38,1,0
1107070016241,5053110707011004256,17.48428,0.10406830462162,198.06815,6.34666,7.53,1,5053110707011,53521.225103322,1.18,30,541.134,1033.63,2988.800049,15,0,71.9,1.451,0.93,0
1107070016241,5053110707021005137,17.480569,0.0968232090341665,198.06832,6.34507,10.14,1,5053110707021,53521.2337020137,1.21,30,551.446,1030.69,3658,18,2,-84.1,1.59,1.44,0
1107070016241,5053110707031005425,19.815847,0.257888410256832,198.07018,6.34574,1.8,0,5053110707031,53521.2423000117,1.24,30,536.387,1028.34,442.600006,4,0,2,1.644,1.48,0
1107070016241,5053110707041005576,19.192287,0.187323631930885,198.07032,6.34606,2.42,0,5053110707041,53521.2508932641,1.28,30,543.149,1027.06,798.900024,6,0,52.3,1.281,1.38,0
1107070016241,6040710707011008005,18.949325,0.186638921544938,198.06992,6.34636,5.18,0,6040710707011,53832.2876611344,1.12,25,537.283,1035.52,804.599976,7,0,-85.7,2.018,1.14,0
1107070016241,6040710707021007835,19.271853,0.218513512095041,198.07022,6.34605,3.38,0,6040710707021,53832.2958164006,1.11,25,537.798,1015.56,597,8,0,1.4,1.171,0.83,0
1107070016241,6040710707031007719,19.380226,0.231449157899692,198.07029,6.34555,4.25,0,6040710707031,53832.3038647222,1.11,25,549.048,1038.29,537.299988,4,0,27.8,1.931,1,0
1107070016241,6040710707041008065,19.22904,0.214210955915836,198.07015,6.34602,5.02,0,6040710707041,53832.3119406943,1.1,25,528.032,1034.53,619.400024,5,0,15.5,1.817,1.04,0
1107070016241,6041810707011008077,18.62927,0.151400360881419,198.06979,6.34587,5.93,0,6041810707011,53843.3038834953,1.11,30,510.075,1028.35,1229.099976,11,0,12.7,1.564,1.13,0
1107070016241,6041810707021008066,19.058535,0.183741783476648,198.06967,6.34562,4.06,0,6041810707021,53843.3132219329,1.12,30,508.946,1008.12,829.5,6,0,-8.9,2.107,0.68,0
1107070016241,6041810707031008101,19.134531,0.190363804190783,198.0695,6.34562,4.61,0,6041810707031,53843.3225123147,1.14,30,522.74,1031.35,774.400024,5,0,-21,2.27,0.74,0
1107070016241,6041810707041007965,18.838495,0.165428891806149,198.06959,6.34583,4.17,0,6041810707041,53843.3318304862,1.15,30,503.751,1026.98,1022.599976,3,2,-67.8,1.06,0.86,0
1107070016241,6122710707011011654,17.363646,0.0951443764886838,198.06755,6.34677,15.11,1,6122710707011,54096.4858184146,1.37,25,489.58,1090.02,3850.100098,46,2,79.8,2.671,1.28,0
1107070016241,6122710707021009371,19.088061,0.192677011361361,198.06987,6.3458,5.41,0,6122710707021,54096.4911903242,1.33,25,485.776,1069.58,756.599976,8,0,4.7,1.462,1.13,0
1107070016241,6122710707031009387,18.974231,0.187190851744295,198.06977,6.34609,2.89,0,6122710707031,54096.4965271643,1.31,25,475.498,1094.75,800,8,0,7.4,1.623,1.6,0
1107070016241,6122710707041008612,19.35697,0.233418153667393,198.06982,6.34619,4.56,0,6122710707041,54096.5018378474,1.28,25,497.462,1092.29,529.099976,6,0,8.3,1.512,0.7,0
1107070016241,6020610707011008360,18.99429,0.16827698572433,198.06985,6.34609,4.64,0,6020610707011,53772.481746065,1.1,30,545.604,1025.53,987.799988,9,0,44.7,1.033,1.19,0
1107070016241,6020610707021008092,19.053524,0.173069105210918,198.06992,6.34626,5.69,0,6020610707021,53772.4899766781,1.11,30,547.021,1007.01,933.599976,11,0,-31.1,1.548,0.92,0
1107070016241,6020610707031008226,19.026131,0.170774963458761,198.0699,6.34605,3.5,0,6020610707031,53772.498106597,1.11,30,558.981,1029.29,958.900024,10,0,22.8,1.299,1.16,0
1107070016241,6020610707041007875,19.64738,0.247954924565894,198.06978,6.34601,2.64,0,6020610707041,53772.5061975117,1.12,30,537.167,1025.66,474.600006,4,0,-47.7,1.33,0.9,0
1107070016241,6020810707011007902,18.803892,0.161591249364155,198.07012,6.34589,3.26,0,6020810707011,53774.4587760996,1.11,30,518.741,991.795,1072.900024,10,0,27.2,1.07,1.25,0
1107070016241,6022210707011009128,19.255378,0.191521984268386,198.06989,6.34615,4.59,0,6022210707011,53788.4258533912,1.11,30,509.547,1022.22,765.400024,8,0,88.1,1.274,1.13,0
1107070016241,6022210707021008892,18.903168,0.16292883597766,198.06987,6.34612,3.9,0,6022210707021,53788.4333206597,1.1,30,508.872,1006.04,1054.900024,12,0,12.1,1.47,1.59,0
1107070016241,6022210707031008023,19.054596,0.174270433139426,198.07076,6.34616,6.05,0,6022210707031,53788.4407814466,1.11,30,519.928,1029.72,920.799988,12,0,-7.8,2.03,1.04,0
1107070016241,6022210707041007964,18.845628,0.158517494837162,198.06994,6.3462,6.61,0,6022210707041,53788.4482599422,1.11,30,502.419,1027.27,1116.300049,12,0,35.5,1.068,1,0
1107070016241,6012310707011008965,19.245624,0.191094646919212,198.0701,6.34607,2.61,0,6012310707011,53758.4578892244,1.17,30,507.373,1079.77,768.700012,9,0,-88.3,1.175,1.06,0
1107070016241,6012310707021008636,19.45257,0.211046951696748,198.0701,6.34592,2.75,0,6012310707021,53758.4650571761,1.16,30,509.357,1059.33,636.799988,5,0,-39.7,1.297,1.12,0
1107070016241,6012310707031008635,18.609733,0.14315830599672,198.07002,6.34584,6.29,0,6012310707031,53758.4721452547,1.14,30,517.942,1084.2,1386.099976,9,0,2.2,1.746,1.13,0
1107070016241,6012310707041008732,19.37731,0.203110926276798,198.07013,6.34608,3.06,0,6012310707041,53758.4792054398,1.13,30,498.874,1081.06,684.299988,8,0,0.9,2.013,0.95,0
1107070016241,6013010707011009883,18.934865,0.166782942180294,198.06981,6.34604,4.06,0,6013010707011,53765.4493256942,1.15,30,518.478,1069.91,1005.799988,14,0,-25.2,1.559,1.62,0
1107070016241,6013010707021010046,18.869984,0.162203257826481,198.06999,6.34601,3.92,0,6013010707021,53765.4558381713,1.14,30,515.253,1050.65,1064.599976,14,0,4.8,1.255,1.6,0
1107070016241,6013010707031010168,19.0759,0.178163466451611,198.06998,6.3458,4.52,0,6013010707031,53765.462472986,1.13,30,529.761,1073.92,881.299988,10,0,-67.6,1.107,1.11,0
1107070016241,6013010707041009632,19.020948,0.175132233414367,198.06983,6.34625,4.25,0,6013010707041,53765.4690096644,1.12,30,506.105,1070.95,911.799988,11,0,32.1,1.139,1.42,0
1107070016241,6030410707011009538,18.928303,0.165017401074171,198.07028,6.34602,3.91,0,6030410707011,53798.4224581714,1.11,30,532.16,1026.78,1027.800049,9,0,3.2,1.286,1.27,0
1107070016241,6030410707021009591,18.979953,0.16968771473739,198.07003,6.3461,4.59,0,6030410707021,53798.4290628936,1.12,30,537.648,1002.06,971.299988,9,0,-35.8,1.372,1.32,0
1107070016241,6030410707031009714,19.032257,0.174033577386232,198.06993,6.34596,3.91,0,6030410707031,53798.4358727201,1.12,30,547.348,1025.61,923.299988,9,0,-62.3,1.128,1.4,0
1107070016241,6030410707041007866,18.605656,0.158442229810587,198.06985,6.34611,2.93,0,6030410707041,53798.4427135764,1.13,30,527.835,1022.56,1117.400024,7,0,28.3,1.535,1.3,0
1107070016241,6032310707011008844,19.372119,0.205677012499597,198.07,6.34607,4,0,6032310707011,53817.3423379283,1.11,30,508.405,1019.23,668.299988,7,0,-25.8,1.129,1.27,0
1107070016241,6032310707021008539,18.998882,0.17135448265097,198.06993,6.34625,4.19,0,6032310707021,53817.3514779629,1.1,30,510.927,999.41,952.400024,12,0,13,1.491,1.57,0
1107070016241,6032310707031009124,19.095025,0.178409550881952,198.07025,6.34597,4.76,0,6032310707031,53817.3605826967,1.11,30,524.871,1022.32,878.900024,10,0,-11.9,1.331,1.14,0
1107070016241,6032310707041008816,18.953811,0.167457886374192,198.0698,6.34616,6.9,0,6032310707041,53817.3697433332,1.11,30,503.079,1018.62,997.599976,11,0,-5.8,1.396,1.02,0
1107070016241,6050210707011008972,18.795204,0.163919220352953,198.06984,6.34627,5.26,0,6050210707011,53857.2783189234,1.13,30,546.462,1032.56,1041.900024,10,0,67.6,1.421,1.26,0
1107070016241,6050210707021008868,18.733698,0.158812935157436,198.06979,6.34617,7.36,0,6050210707021,53857.2857851503,1.14,30,548.124,1011.82,1112,13,0,64.3,1.318,0.92,0
1107070016241,6050210707031008839,18.49218,0.144230392062287,198.07026,6.34557,7.47,0,6050210707031,53857.2932298496,1.15,30,561.868,1035.42,1363.800049,12,0,55.2,1.608,1.07,0
