MasterID,ID,Mag,Magerr,RA,Dec,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
1107065015154,5122710706511008378,18.776407,0.152376946375709,181.82643,6.42868,6.03,0,5122710706511,53731.4849010417,1.2,30,3503.87,1171.54,1212.5,13,0,-54.1,1.333,0.96,0
1107065015154,5122710706521007970,19.105376,0.17669058559335,181.8263,6.42824,4.38,0,5122710706521,53731.4929953008,1.17,30,3504.99,1151.46,895.900024,9,0,60.7,1.855,1.02,0
1107065015154,5122710706531007804,18.755357,0.154045745715359,181.8263,6.42864,4.06,0,5122710706531,53731.5010593636,1.15,30,3515.27,1176.28,1185,8,0,-30.3,1.136,1.09,0
1107065015154,5122710706541007801,18.963927,0.165691873147945,181.82604,6.42871,3.8,0,5122710706541,53731.5091323378,1.14,30,3493.86,1173.84,1019.299988,10,0,-57.3,1.488,1.46,0
1107065015154,5070210706511006331,19.137743,0.19201796948721,181.82662,6.42855,3.55,0,5070210706511,53553.1576081826,1.48,30,3518.57,1165.14,761.599976,5,0,-1.6,1.565,0.76,0
1107065015154,5070210706521006803,19.276838,0.206732866554752,181.82634,6.42861,3.39,0,5070210706521,53553.1640517823,1.53,30,3526.42,1151.86,661.900024,6,0,-47.2,1.307,0.97,0
1107065015154,5070210706531006859,18.456304,0.142682322557996,181.82622,6.42867,4.28,0,5070210706531,53553.1705015278,1.59,30,3510.7,1149.97,1396.199951,12,0,-28.6,1.085,1.19,0
1107065015154,5070210706541006443,19.127922,0.193289891481016,181.82656,6.42866,4.27,0,5070210706541,53553.176950926,1.66,30,3522.71,1149.93,752,6,0,4.7,2.728,1.06,0
1107065015154,5060710706511007617,18.882836,0.162381737408106,181.82631,6.42857,2.47,0,5060710706511,53528.1934276158,1.28,30,3555.82,1131.88,1062.199951,8,0,64.6,1.077,1.72,0
1107065015154,5060710706521007630,18.891706,0.163444285332753,181.82628,6.42853,3.29,0,5060710706521,53528.2009291551,1.32,30,3559.64,1129.78,1048.099976,9,0,-77,1.344,1.66,0
1107065015154,5060710706531007514,18.735473,0.15290994351133,181.82623,6.42842,2.88,0,5060710706531,53528.2084130901,1.36,30,3543.89,1128.89,1203.599976,10,0,-33.4,1.271,1.45,0
1107065015154,5060710706541007422,18.720689,0.152579777764448,181.82617,6.42835,3.89,0,5060710706541,53528.2158867247,1.41,30,3560.65,1127.22,1209.099976,10,0,82.4,1.571,1.75,0
1107065015154,5050910706511008661,18.763828,0.151116358331018,181.82638,6.42869,3.03,0,5050910706511,53499.1843606136,1.1,30,3513.16,1152.1,1234,10,0,-53.8,1.165,1.62,0
1107065015154,5050910706521009143,18.78733,0.152711534610796,181.82636,6.42865,2.57,0,5050910706521,53499.1896922453,1.1,30,3518.73,1150.26,1206.900024,11,0,-48.6,1.084,1.71,0
1107065015154,5050910706531008819,18.775495,0.151756609648628,181.82613,6.42854,3.08,0,5050910706531,53499.1950746877,1.11,30,3502.12,1148.51,1223,12,0,-73,1.227,1.51,0
1107065015154,5050910706541009258,18.91553,0.161635219058302,181.82631,6.42857,2.73,0,5050910706541,53499.2003925461,1.11,30,3514.46,1146.92,1072.300049,9,0,-26.6,1.192,1.78,0
1107065015154,5053010706531008678,18.655087,0.154107667853162,181.82627,6.42863,3.03,0,5053010706531,53520.2406500927,1.43,30,3495.96,1107.19,1184,10,0,-54.7,1.112,1.31,0
1107065015154,5053010706541008651,18.791379,0.161459590253977,181.82628,6.42859,3.06,0,5053010706541,53520.2470684606,1.47,30,3506.48,1105.72,1074.699951,10,0,56.6,1.278,1.57,0
1107065015154,5053110706511005518,18.954946,0.167102779152581,181.82611,6.42874,2.86,0,5053110706511,53521.191781065,1.2,30,3503.52,1154.78,1001.900024,8,0,88.2,1.24,1.35,0
1107065015154,5053110706521004953,18.507318,0.141889630846304,181.82627,6.42853,3.53,0,5053110706521,53521.1998783448,1.23,30,3509.96,1152.29,1413.300049,10,0,-46.6,1.188,1.33,0
1107065015154,5053110706531005165,18.832304,0.158661542871987,181.82638,6.42849,2.91,0,5053110706531,53521.2079664813,1.26,30,3494.39,1150.73,1114.199951,9,0,-23.8,1.182,1.66,0
1107065015154,5053110706541005135,18.774684,0.158689024851485,181.82633,6.42839,2.67,0,5053110706541,53521.2160630673,1.3,30,3511.04,1150.57,1113.800049,9,0,-0.3,1.311,1.45,0
1107065015154,5113010706511008326,19.243515,0.19551387225859,181.8264,6.42833,3.41,0,5113010706511,53704.4910710994,1.59,30,3484.32,1208.21,735.700012,8,0,-88.6,1.327,1.08,0
1107065015154,5113010706521007315,18.654979,0.151868191133021,181.82662,6.42856,6.36,0,5113010706521,53704.497601632,1.52,30,3484.79,1189.22,1221.099976,11,0,16.2,1.319,1.08,0
1107065015154,5113010706531008559,18.69693,0.1558589622026,181.82627,6.42851,3.82,0,5113010706531,53704.5041562384,1.47,30,3498.93,1214.6,1156.300049,11,0,-84.3,1.326,1.39,0
1107065015154,5113010706541008580,18.731282,0.157155081575078,181.82619,6.42877,3.04,0,5113010706541,53704.5107169789,1.42,30,3476.89,1212.99,1136.5,12,0,18.2,1.036,1.35,0
1107065015154,6041810706511008978,19.04226,0.182254049171251,181.82618,6.42825,2.68,0,6041810706511,53843.2680048612,1.12,30,3470.47,1156.57,842.799988,9,0,18.2,1.394,1.79,0
1107065015154,6041810706521008657,19.275659,0.203615951484244,181.82611,6.42843,2.09,0,6041810706521,53843.2761087385,1.13,30,3472.42,1137.21,681.099976,5,0,86.8,1.171,1.6,0
1107065015154,6041810706531008869,18.876208,0.168742757005175,181.82631,6.42839,2.71,0,6041810706531,53843.284208565,1.14,30,3484.82,1160.89,982.299988,9,0,12.8,1.56,1.56,0
1107065015154,6041810706541008523,19.427053,0.22001593453665,181.82597,6.42829,2.49,0,6041810706541,53843.2922601271,1.15,30,3466.25,1157.43,589.5,4,0,45.3,1.353,1.06,0
1107065015154,6121510706511009518,18.997118,0.164119817126126,181.8266,6.42864,5.24,0,6121510706511,54084.4783201274,1.37,30,3440.38,1207.64,1039.300049,9,0,-36.3,1.458,1.33,0
1107065015154,6121510706521009114,18.844409,0.153437466656286,181.82604,6.42823,5.81,0,6121510706521,54084.4837120716,1.34,30,3442.1,1182.77,1194.900024,10,0,-11.3,2.128,1.42,0
1107065015154,6121510706531009146,18.965902,0.161767388259109,181.82622,6.42867,2.51,0,6121510706531,54084.4890799304,1.31,30,3432.41,1208.1,1070.5,9,0,-78.3,1.309,1.42,0
1107065015154,6121510706541009296,18.817122,0.151319020377757,181.82631,6.4284,3.26,0,6121510706541,54084.4944404978,1.29,30,3456.03,1205.29,1230.5,10,0,39,1.17,1.36,0
1107065015154,6122610706511010604,18.855115,0.155136021467342,181.8261,6.42849,3.91,0,6122610706511,54095.4410073147,1.42,30,3445.3,1244.97,1167.599976,14,0,-60.2,1.485,1.47,0
1107065015154,6122610706521010447,18.647844,0.140839845682204,181.82631,6.4285,5.43,0,6122610706521,54095.4529116089,1.34,30,3446.24,1224.29,1436.5,15,0,81.8,1.567,1.56,0
1107065015154,6122610706531010840,18.843928,0.152825657147015,181.82655,6.42842,3.75,0,6122610706531,54095.4648370831,1.28,30,3434.25,1244.78,1205,13,0,29,1.263,1.48,0
1107065015154,6122610706541010599,18.941116,0.159242341864196,181.82633,6.42842,3.01,0,6122610706541,54095.4767159144,1.23,30,3458.24,1238.24,1105.800049,10,0,-7.6,1.167,1.51,0
1107065015154,6020610706511008845,19.153434,0.181552264716561,181.82628,6.42859,2.86,0,6020610706511,53772.4507477661,1.11,30,3507.96,1151.31,849.200012,9,0,52.5,1.218,1.44,0
