SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma
005716.99-032246.1,7912-57310-0728,14.320812,-3.3794919,1.733,19.90255279710145,0.3248775294517724
020212.01+220145.0,7632-56987-0824,30.550081,22.029181,1.778,18.81788733910035,0.17280645993112412
002422.04+004610.6,0688-52203-0452,6.0918548,0.76963403,2.007,19.38240931972788,0
003132.10+155116.8,6191-56248-0870,7.883745,15.85468,1.945,19.0793263021807,0.18881379743547708
010050.73-034541.9,7912-57310-0120,15.211385,-3.7616531,1.4257218,20.069669671532843,0.42401291346796144
003133.93+255110.1,7660-57357-0318,7.891383,25.852813,1.1177531,18.771939264150948,0.20438622714173404
015414.44+111840.2,4656-55828-0458,28.560204,11.311171,2.371,19.82306893043479,0.3401193637639667
010836.25+211339.0,7625-57011-0209,17.15105,21.227507,2.443116,20.142445934010148,0.2680572976032304
012451.54+084742.5,4552-55884-0408,21.214781,8.7951428,2.369,19.19183984357541,0.15988490515699438
022540.47+001225.3,6780-56605-0636,36.418645,0.2070254,1.093,20.34203795348837,0.38310451410160873
020216.40+010913.5,0701-52179-0529,30.568385,1.1537611,0.8288,19.344003055555557,0.17166753037445293
003136.49-013621.7,4368-55559-0714,7.9020472,-1.6060445,2.386,18.76369746428571,0
025417.39+042203.0,8729-57399-0986,43.572485,4.3675016,2.3725815,0,0
001253.21+220152.9,7593-56958-0860,3.2217497,22.031386,1.9162618,20.481081326530617,0.14551347371681508
020639.78+220654.9,7636-56989-0094,31.665755,22.115271,0.8803251,20.11550002684564,0.3482039722540086
013724.65+261509.5,7685-57062-0992,24.352719,26.252665,1.0708288,20.27689954,0.26616465464771316
015418.68+013015.0,7836-57278-0468,28.577855,1.5041811,1.0811411,20.14259040740742,0.25065197610653794
012044.93-031626.7,7914-57331-0910,20.18723,-3.2741034,2.091682,19.990313798701305,0.4568132392824816
002038.71+123615.9,6183-56210-0036,5.1613131,12.604437,1.53,19.90056186029412,0.6735014137300405
002814.57+211830.3,7589-56946-0614,7.060729,21.308424,2.1669507,20.377924066666665,0.44468863019122623
023228.55-001655.2,7828-57039-0118,38.118971,-0.28201895,2.213,20.677061428571424,0.09187880420589732
010844.92+252811.5,7679-57367-0310,17.187206,25.469882,1.1955037,20.686534896551727,0.12642940183538565
022553.14+022520.8,4265-55505-0820,36.471422,2.4224647,2.171,20.12736699999999,0.3237677198959523
024002.92-035300.1,7880-57336-0762,40.012192,-3.8833843,1.2942897,20.554101795918363,0.28481858052321657
