,SDSS_NAME,SDSS_ID,RA,DEC,Z,MagAve,Sigma,qSDSS_NAME,qRA,qDEC
40,004606.81+300102.8,7718-57362-0238,11.528377,30.017454,0.809038,19.697095672794124,0.2747974092389652,134641.20+623100.5,206.67167,62.516892
41,005711.10+291809.0,7721-57360-0254,14.296253,29.302517,2.1076536,19.724902732075467,0.2560019768069232,015751.43+274029.6,29.464329,27.674895
42,001240.95+201450.7,7592-56947-0550,3.1706534,20.247444,1.1647642,19.4980940106383,0.2449994385149885,134512.31+442450.3,206.30133,44.413979
43,011644.06-025130.6,7875-56980-0051,19.183593,-2.8585,1.955,19.831483216049374,0.4856541188259978,025306.51-021345.4,43.277135,-2.229287
44,001631.10+242504.7,7663-57328-0804,4.1296093,24.41798,2.356,20.390214772151907,0.3288635364978489,012446.05+250004.7,21.191887,25.001314
45,014130.89+184401.9,5122-55841-0684,25.378713,18.733887,2.37,20.15292011340207,0.3596767866200706,152022.67+322204.5,230.09449,32.367917
46,001629.83+321052.6,7129-56569-0222,4.1243308,32.181298,0.825,19.89980266321244,0.3646872497587261,011744.43+241726.7,19.435142,24.290775
47,022530.64+041719.9,8732-57418-0936,36.377695,4.2888639,2.504,20.087877454545456,0.1477331699386282,083239.13+434517.6,128.16305,43.754916
48,012033.44+245055.5,7684-57286-0550,20.139335,24.848777,1.2226897,20.482763758064525,0.4231806354034926,021507.10-035725.3,33.779611,-3.957032
49,012445.91-080332.2,7160-56599-0234,21.191329,-8.0589515,2.008,20.096480423076923,0.4670033248692543,121653.36+424048.8,184.22237,42.680225
50,004955.79+262035.6,7673-57329-0924,12.482486,26.343225,2.212,19.93741494583334,0.2806839999051875,000716.86+215146.3,1.820267,21.86288
51,013715.91+303553.8,6267-56279-0625,24.316324,30.598308,2.142,20.42600095,0.3624870659841375,142350.04+550316.2,215.95847,55.054594
52,021150.00-035519.8,7885-57336-0279,32.958339,-3.9221775,1.9967285,19.39333599285714,0.2304771039663396,020835.75-020204.8,32.148995,-2.034675
53,005716.99-032246.1,7912-57310-0728,14.320812,-3.3794919,1.733,19.90255279710145,0.3248775294517724,021642.27-025843.2,34.176164,-2.978688
54,020212.01+220145.0,7632-56987-0824,30.550081,22.029181,1.778,18.81788733910035,0.1728064599311241,230020.05+202739.1,345.08357,20.460864
55,002422.04+004610.6,0688-52203-0452,6.0918548,0.76963403,2.007,19.38240931972788,0.0,020835.75-020204.8,32.148995,-2.034675
56,003132.10+155116.8,6191-56248-0870,7.883745,15.85468,1.945,19.0793263021807,0.188813797435477,010810.76-015457.5,17.044852,-1.915995
57,010050.73-034541.9,7912-57310-0120,15.211385,-3.7616531,1.4257218,20.069669671532843,0.4240129134679614,013600.23+240543.0,24.000995,24.095301
58,003133.93+255110.1,7660-57357-0318,7.891383,25.852813,1.1177531,18.771939264150948,0.204386227141734,012822.63+021737.3,22.094301,2.293699
59,015414.44+111840.2,4656-55828-0458,28.560204,11.311171,2.371,19.82306893043479,0.3401193637639667,004744.16+021803.2,11.934001,2.300903
60,010836.25+211339.0,7625-57011-0209,17.15105,21.227507,2.443116,20.142445934010148,0.2680572976032304,152022.67+322204.5,230.09449,32.367917
61,012451.54+084742.5,4552-55884-0408,21.214781,8.7951428,2.369,19.19183984357541,0.1598849051569943,145302.38+470832.7,223.25992,47.142439
62,022540.47+001225.3,6780-56605-0636,36.418645,0.2070254,1.093,20.34203795348837,0.3831045141016087,094555.44+404950.2,146.48101,40.830634
63,020216.40+010913.5,0701-52179-0529,30.568385,1.1537611,0.8288,19.34400305555556,0.1716675303744529,151334.90+485406.1,228.39543,48.901714
64,003136.49-013621.7,4368-55559-0714,7.9020472,-1.6060445,2.386,18.76369746428571,0.0,012822.63+021737.3,22.094301,2.293699
65,025417.39+042203.0,8729-57399-0986,43.572485,4.3675016,2.3725815,0.0,0.0,083953.06+193830.1,129.97109,19.641699
66,001253.21+220152.9,7593-56958-0860,3.2217497,22.031386,1.9162618,20.481081326530617,0.145513473716815,021507.10-035725.3,33.779611,-3.957032
67,020639.78+220654.9,7636-56989-0094,31.665755,22.115271,0.8803251,20.11550002684564,0.3482039722540086,082512.33+472815.8,126.3014,47.471193
68,013724.65+261509.5,7685-57062-0992,24.352719,26.252665,1.0708288,20.27689954,0.2661646546477131,095131.29+503251.0,147.8804,50.547513
69,015418.68+013015.0,7836-57278-0468,28.577855,1.5041811,1.0811411,20.14259040740742,0.2506519761065379,152022.67+322204.5,230.09449,32.367917
70,012044.93-031626.7,7914-57331-0910,20.18723,-3.2741034,2.091682,19.990313798701305,0.4568132392824816,085450.39+492315.6,133.70998,49.387751
71,002038.71+123615.9,6183-56210-0036,5.1613131,12.604437,1.53,19.90056186029412,0.6735014137300405,021642.27-025843.2,34.176164,-2.978688
72,002814.57+211830.3,7589-56946-0614,7.060729,21.308424,2.1669507,20.377924066666665,0.4446886301912262,212852.68+080308.6,322.21951,8.05239
73,023228.55-001655.2,7828-57039-0118,38.118971,-0.28201895,2.213,20.677061428571424,0.0918788042058973,013201.54+235323.4,23.006452,23.889835
74,010844.92+252811.5,7679-57367-0310,17.187206,25.469882,1.1955037,20.686534896551727,0.1264294018353856,080608.54+382806.9,121.53561,38.468606
75,022553.14+022520.8,4265-55505-0820,36.471422,2.4224647,2.171,20.12736699999999,0.3237677198959523,081100.33+571134.9,122.75139,57.193049
76,024002.92-035300.1,7880-57336-0762,40.012192,-3.8833843,1.2942897,20.554101795918363,0.2848185805232165,001619.47+043737.4,4.081146,4.627068
77,013729.13+022833.6,7842-56899-0646,24.371409,2.4760131,1.5754937,18.766917541666665,0.1174332094320889,012822.63+021737.3,22.094301,2.293699
78,020645.47-022221.2,7838-56958-0273,31.689459,-2.37256,1.1524644,19.8713101952381,0.3111572580209059,235005.48+233814.2,357.52283,23.637289
79,003858.32+254756.4,7660-57357-0008,9.7430344,25.799009,1.1479574,0.0,0.0,083953.06+193830.1,129.97109,19.641699
80,003858.80+315805.4,7715-57364-0843,9.7450358,31.968167,1.2567255,0.0,0.0,083953.06+193830.1,129.97109,19.641699
81,002434.68-002425.7,7866-57002-0388,6.144511,-0.40715686,1.2065365,20.49477021978021,0.1726242952051883,100047.91+372740.7,150.19963,37.461322
82,000053.64+190255.9,7596-56945-0159,0.22353471,19.048877,1.0260955,20.004885790849663,0.362719241197072,225205.31+245250.0,343.02215,24.880565
83,010101.98+210322.2,7624-57039-0647,15.258255,21.05618,1.9547002,20.51376452173913,0.163052439096073,100047.91+372740.7,150.19963,37.461322
84,014148.14-040526.8,7893-57286-0480,25.450607,-4.090779,1.1328344,20.585426785714287,0.1347817112489278,114156.80+044043.9,175.48671,4.678863
85,002435.30+252309.7,7662-57358-0097,6.1471233,25.386046,1.8660537,19.625162138461537,1.09361524128977,221851.83+205114.0,334.71597,20.853903
86,011255.38-025712.7,4373-55811-0056,18.230785,-2.9535398,1.918,18.501419447183096,0.1618910595266727,015444.58+232610.3,28.685784,23.436201
87,013733.90-031856.9,7845-56980-0414,24.391269,-3.3158158,1.380677,19.66728249743589,0.3799744677817135,124926.31+361801.3,192.35965,36.300367
88,011702.35+331953.1,6597-56304-0612,19.259828,33.331432,1.091,19.978298397959176,0.3791296659501459,073440.76+445337.6,113.66987,44.893802
89,000908.26+172250.1,6111-56270-0436,2.2844142,17.380595,2.405,19.050803412186397,0.2597394722835206,223100.05+240718.9,337.75023,24.121922
90,002819.93-015500.6,7867-57003-0580,7.0830423,-1.9168368,1.5629908,19.710307225352118,0.5754275874135587,104614.80+375928.5,161.56169,37.991256
91,002044.17+272348.4,7694-57359-0028,5.1840452,27.396782,0.9909775,19.99837679381444,0.3670748026223697,111937.60+545513.7,169.90669,54.920573
92,005405.37+175401.6,7623-56901-0435,13.522405,17.900459,1.7499278,20.108489574660624,0.3829790865605355,140726.61+282236.1,211.8609,28.376718
93,003146.81-041143.0,7038-56571-0968,7.9450722,-4.1952832,2.366,19.7845182384106,0.3612129146822956,101528.86+533325.5,153.87024,53.557191
94,012508.64+054958.9,4424-55532-0360,21.286024,5.8330538,1.231,19.502612968503943,0.3897382348182656,134512.31+442450.3,206.30133,44.413979
95,015022.67-005501.9,0700-52199-0284,27.594486,-0.91720727,1.1328,19.433595680769237,0.3371354440525974,115624.92+470435.1,179.10385,47.076432
96,015432.05-084923.7,0665-52168-0560,28.633523,-8.8232346,1.5078,18.850400000000004,0.2195017586825382,012011.27+200529.9,20.046972,20.091642
97,004244.83+180943.3,7618-56898-0476,10.686797,18.162052,0.8418796,19.797758430147045,0.3320795961308599,235540.99+281108.4,358.92082,28.185669
98,012513.50-023601.0,7913-57333-0662,21.306265,-2.6002865,1.1051656,19.92758045962733,0.2697971475891169,000716.86+215146.3,1.820267,21.86288
99,004635.96+223323.6,7617-56949-0768,11.649856,22.556567,2.1633162,20.142371863636367,0.7934890780985768,152022.67+322204.5,230.09449,32.367917
100,012103.33+021116.8,7861-57281-0812,20.263901,2.1880101,1.1538174,20.2203615,0.3562725764547151,235629.03+010930.7,359.121,1.158571
101,004635.75+264011.0,7673-57329-0758,11.648986,26.669732,1.0921816,19.293641987013,0.2317019133751976,225651.29+234711.9,344.21373,23.786648
102,000916.21-025554.5,7863-56975-0404,2.3175645,-2.9318162,2.1207893,19.05386557986111,0.756875347753017,120132.12+372911.7,180.38384,37.486601
103,015028.09+240324.5,7638-56981-0980,27.617069,24.056808,0.928651,20.35813736470589,0.2401833061292217,234006.85+222150.5,355.02855,22.364031
104,004248.38-075303.3,7154-56955-0382,10.701599,-7.8842562,1.0526527,19.33312368604651,0.4038349772690134,114948.93+482459.5,177.45388,48.416621
105,024717.29-005205.7,4241-55450-0366,41.822072,-0.86825641,0.826,20.040459542452837,0.3138728409029081,001116.58+133121.1,2.819126,13.522523
106,021929.75-013523.3,7831-57016-0281,34.87398,-1.5898328,2.2150807,20.020918421052635,0.3343060643329867,224033.07+195411.4,340.1378,19.903176
107,020239.92-030207.9,7838-56958-0450,30.666368,-3.0355342,1.344407,18.74795905882352,0.1679235396111461,004621.65+204525.7,11.59024,20.757157
108,020703.80+040727.0,8736-57400-0898,31.76584,4.1241802,2.163,20.77883731958763,0.5522098155195221,002710.88+210309.1,6.795364,21.052549
109,000512.11+001313.1,1090-52903-0417,1.3004939,0.22034308,1.2744,19.905886129166664,0.120671618318336,131727.04+421002.1,199.3627,42.167252
110,003913.87-005909.0,0392-51793-0006,9.8078004,-0.98582892,2.0835,18.582986908805037,0.3238240921877129,142304.15+524630.1,215.7673,52.775047
111,005743.29+221955.9,7620-56904-0806,14.430405,22.332206,2.064807,20.05371313197969,0.354969139271853,081558.88+224139.3,123.99534,22.694275
112,025505.93+001446.7,4242-55476-0735,43.774709,0.24633066,2.298,19.350047290322586,0.2152552949121692,002440.07+261147.1,6.166968,26.196427
113,023301.98-081020.8,4389-55539-0774,38.258253,-8.1724558,2.474,19.21936320833333,0.2458596198403858,014915.96+023324.9,27.316533,2.556933
114,015835.18+273922.3,7691-57040-0731,29.64662,27.656216,1.0041791,18.80869080368099,0.1418359003840759,025425.49+033811.3,43.606223,3.636494
115,004642.04+255609.9,7673-57329-0778,11.675183,25.936097,1.8153296,19.819268918699184,0.2907003952256174,004744.16+021803.2,11.934001,2.300903
116,012111.93+223507.9,7631-57279-0881,20.29972,22.585529,1.2815188,19.17420475132276,0.2590509070698359,134128.52+492438.1,205.36886,49.410674
117,022630.92-065943.6,4392-55833-0824,36.628852,-6.9954683,0.822,19.51232070168068,0.3113037483895861,164931.65+483523.9,252.38192,48.590051
118,015035.65+094554.8,4530-55564-0432,27.648567,9.7652271,2.18,19.896511286666676,0.3162542812912446,021642.27-025843.2,34.176164,-2.978688
119,021939.07-083107.6,0668-52162-0507,34.912831,-8.5187877,1.681,19.423671071748867,0.1926850924615807,142137.77+441355.5,215.4074,44.232092
120,005420.31+345123.3,6874-56550-0881,13.584665,34.856475,2.351,0.0,0.0,083953.06+193830.1,129.97109,19.641699
121,021248.54-050624.4,7885-57336-0202,33.202288,-5.1067884,1.3665895,20.456877372881355,0.3595536883967312,000926.13+320441.6,2.358901,32.07823
122,012523.40+245054.0,7684-57286-0747,21.347503,24.848353,1.412945,19.592200533333337,0.3313794519102082,021337.50+023511.9,33.40627,2.586665
123,002454.89+265157.8,7662-57358-0912,6.2287263,26.866056,2.421,20.213406685950392,0.5126877507807178,122124.32+350351.6,185.35135,35.064341
124,000116.51-031050.2,7898-57363-0505,0.3188294,-3.180623,1.1008899,0.0,0.0,083953.06+193830.1,129.97109,19.641699
125,005030.54-020144.3,7871-56902-0310,12.627291,-2.0289734,1.2297643,19.74240800851064,0.2619529730266441,084007.63+441604.3,130.0318,44.267887
126,024737.50-000459.1,6782-56572-0019,41.906267,-0.083105002,1.844,19.344695455516018,0.2955186340178872,002440.07+261147.1,6.166968,26.196427
127,014617.75+192332.4,7627-56933-0810,26.573964,19.39235,1.01014,20.545022031250003,0.1396377950193406,002039.04+275403.7,5.162702,27.90104
128,005030.13+023915.0,4306-55584-0846,12.625579,2.6541925,2.112,19.97350779272728,0.3835122436818284,073440.76+445337.6,113.66987,44.893802
129,013348.53+030932.8,4276-55505-0842,23.452226,3.1591313,2.32,0.0,0.0,083953.06+193830.1,129.97109,19.641699
130,002456.21+173727.6,7590-56944-0281,6.2342423,17.62434,1.5678335,19.71779047967479,0.2508086390177651,015751.43+274029.6,29.464329,27.674895
131,020711.95+263242.2,7659-57060-0310,31.799861,26.545074,2.364341,20.546984728571427,0.2784547963722143,123722.12+402719.4,189.34221,40.455398
132,012939.74+215013.8,7635-56979-0778,22.415596,21.837184,0.8525149,19.813830628169036,0.2765347615232507,111856.02+495229.7,169.73344,49.874963
133,002457.10+230714.3,7591-56954-0862,6.2379222,23.120663,0.8129959,18.5597689768116,0.1629918256622676,095503.98+561846.7,148.76655,56.312966
134,010906.95+244202.7,7678-57282-0992,17.278975,24.700769,2.004652,19.83840075732217,0.288373260576473,025306.51-021345.4,43.277135,-2.229287
135,004647.85+141429.3,6203-56266-0362,11.699393,14.24148,1.734,20.37013421311476,0.4203775641416288,140004.34+094853.1,210.01811,9.814761
136,022640.21+012934.4,7827-57278-0224,36.667582,1.4929041,2.474076,20.00273748803828,0.3014425515315121,003003.16-032100.0,7.513175,-3.350027
137,002107.59+231753.0,7591-56954-0661,5.281642,23.298063,1.8743904,19.576156540441183,0.4207741206648705,134147.97+533646.0,205.44989,53.61286
138,000519.91+120544.8,5649-55912-0330,1.3329841,12.0958,2.204,19.440914217228464,0.3281609527757521,144553.76+131614.1,221.47404,13.270598
139,025520.16+012025.5,4257-55480-0292,43.834007,1.3404217,2.394,19.013653280864204,0.217973157399503,223100.05+240718.9,337.75023,24.121922
140,012118.48+221418.9,7631-57279-0894,20.327005,22.238602,2.1883397,0.0,0.0,083953.06+193830.1,129.97109,19.641699
141,013759.45+264507.0,7686-57015-0206,24.497729,26.751962,2.2865744,0.0,0.0,083953.06+193830.1,129.97109,19.641699
142,003923.67-024709.0,7904-57358-0901,9.8486615,-2.785849,0.8235258,19.73572542148759,0.5662974843222524,144548.27+075256.0,221.45115,7.882236
143,003207.31+200457.7,7589-56946-0156,8.0304851,20.082721,1.2846996,20.5125522,0.2065988877490467,100047.91+372740.7,150.19963,37.461322
144,022644.03+003305.7,4237-55478-0974,36.683492,0.55160415,2.383,19.781860120331945,0.3235524166365173,124652.20+562122.5,191.71753,56.356329
145,012942.48+215551.4,7635-56979-0772,22.427021,21.930953,1.4665136,19.898729369565217,0.0,021642.27-025843.2,34.176164,-2.978688
146,003926.11-021220.6,7869-57012-0378,9.8588267,-2.2057282,0.9365973,19.674044730994154,0.3579199238459367,084525.57+450156.7,131.35657,45.03244
147,013802.07+012424.4,4275-55501-0394,24.50863,1.4068,2.53,18.307541988304106,0.0840122797408413,004135.96+282218.6,10.399846,28.371861
148,003209.70+174451.8,7588-56903-0458,8.0404204,17.747742,0.9092675,0.0,0.0,074604.21+280624.9,116.51758,28.106937
149,020718.29+015405.4,7833-57286-0278,31.826213,1.901524,1.4326464,20.27462288157895,0.332243399703698,150717.62+571727.7,226.82338,57.291095
150,021259.53+051645.1,4401-55510-0060,33.248065,5.2792118,1.509,19.071180889807177,0.1948581608124879,021742.25-015937.9,34.42605,-1.993883
151,013803.26+231548.5,7687-57007-0148,24.5136,23.263484,1.5991021,20.194901000000005,0.319620702625219,024650.75+020751.7,41.711468,2.131029
152,002842.72+272702.0,7693-57361-0266,7.178038,27.45057,1.0253077,20.04172628017241,0.256295596713934,004054.38+244623.3,10.22662,24.773161
153,005038.30+224143.9,7617-56949-0976,12.659624,22.69555,1.6562599,19.938614331877726,0.3140185423552813,154121.37+063804.1,235.33906,6.634501
154,004306.31-032524.2,7869-57012-0168,10.776332,-3.423399,1.2878122,20.113574148760325,0.4134824067255213,140726.61+282236.1,211.8609,28.376718
155,005757.32+141900.0,5704-56187-0256,14.488862,14.31669,2.147,18.82529940070922,0.2758780645554607,023931.87+002854.0,39.882825,0.481675
156,003547.07-031018.6,7904-57358-0700,8.9461361,-3.1718475,0.9130091,20.13435623863637,0.2923958690148396,125659.77+071253.6,194.24905,7.214896
157,002114.54+244849.5,7662-57358-0251,5.3105959,24.813767,1.3781459,0.0,0.0,083953.06+193830.1,129.97109,19.641699
158,002115.13+222642.1,7591-56954-0726,5.3130475,22.445054,1.4265316,19.63594848221344,0.3024648486014404,124058.54+624814.5,190.2438,62.804142
159,001720.18+324141.0,7129-56569-0814,4.3341228,32.694727,2.397,19.157430322807013,0.2099656160419082,145349.87+531745.8,223.4578,53.29613
160,000939.01+225730.7,7665-57328-0058,2.4125595,22.958543,0.8660504,20.030872200000005,0.3234882275481639,140023.27+491243.4,210.09696,49.212089
161,015051.71-040050.9,7893-57286-0034,27.715466,-4.0141468,0.9200911,19.959951093959724,0.3448778511863175,133025.74+645424.6,202.60731,64.90688
162,000129.04+253544.8,6513-56543-0903,0.37100646,25.595778,2.176,20.37198662857143,0.3651659345473652,140004.34+094853.1,210.01811,9.814761
163,024114.26-034423.8,7880-57336-0836,40.309445,-3.73997,1.93,20.466902869565217,0.0937621990359202,001453.83+021452.2,3.724331,2.247847
164,022008.74-045905.5,6369-56217-0417,35.036438,-4.9848607,1.652,20.07070158947369,0.3426997152429953,013600.23+240543.0,24.000995,24.095301
165,000941.07-002039.9,7863-56975-0664,2.4211303,-0.34443487,1.2429692,20.401572908396947,0.1855459865405788,092845.08+134801.4,142.18786,13.800414
166,002848.02+195019.4,7589-56946-0342,7.2001206,19.838741,0.9086048,20.44826089583333,0.2018276744370825,142438.09+463022.0,216.15871,46.506115
167,002510.63+185805.2,7590-56944-0726,6.2943061,18.968116,0.9909286,19.720178584229405,0.2826143186400857,102559.95+255522.5,156.4998,25.922927
168,015055.43+001543.6,0700-52199-0400,27.730996,0.26211183,1.0366,19.358892748275856,0.2197311958419477,002440.07+261147.1,6.166968,26.196427
169,000131.66-050749.7,7034-56564-0266,0.38191898,-5.1304985,2.263,19.695954214285724,0.2714266760976099,110546.14+641557.3,166.44224,64.266039
170,003935.51+045036.6,4303-55508-0910,9.8979735,4.8435031,2.25,18.89241984518828,0.1708617367351946,231201.18+255807.3,348.00492,25.968719
171,000943.95+021808.6,4298-55511-0646,2.4331426,2.302403,2.36,19.618375658682627,0.0707337165287853,221851.83+205114.0,334.71597,20.853903
172,021315.21+003856.5,1073-52649-0418,33.313408,0.64903576,1.4538,20.198747678321677,0.2989698711079028,024650.75+020751.7,41.711468,2.131029
173,003553.55+241535.2,7672-57339-0473,8.9731585,24.259798,1.4413661,18.104528465631944,0.6777345091529992,232814.76+232305.6,352.06152,23.384892
174,010136.01+265727.4,7677-57363-0324,15.40006,26.957631,1.5239644,0.0,0.0,083953.06+193830.1,129.97109,19.641699
175,011332.45+020934.1,7859-57282-0969,18.385232,2.1594978,2.201,19.713041021390385,0.3413530613514826,104614.80+375928.5,161.56169,37.991256
176,004315.10+011053.2,0691-52199-0367,10.812948,1.1814739,1.921,19.56609477380953,0.2896777565842178,132854.67+470810.0,202.22778,47.13612
177,003556.61-022852.9,4368-55559-0136,8.9859022,-2.4813736,1.365,19.899443205776155,0.608961898531532,021642.27-025843.2,34.176164,-2.978688
178,011737.53+212222.7,7630-57006-0941,19.406416,21.372997,1.3927882,20.634520212121213,0.0,095847.37+503556.5,149.6974,50.599036
179,002125.09-022603.6,4367-55566-0476,5.3545618,-2.4343489,0.815,19.756669586206897,0.2442808273434301,113714.32+615002.0,174.30962,61.833973
180,011335.68+243947.0,7681-57042-0633,18.398671,24.663063,1.3215321,19.997155348837207,0.5195142092357684,003003.16-032100.0,7.513175,-3.350027
181,025601.15+015344.5,7819-57280-0160,44.004799,1.8957214,1.7268394,20.2290773539823,0.3063816270571567,004716.86+263614.7,11.820291,26.604102
182,024818.26-082716.2,0456-51910-0068,42.076115,-8.4545177,1.6399,18.960354122994648,0.2490940981026466,012616.13+050209.9,21.56725,5.036112
183,014645.49-043219.8,7893-57286-0203,26.689557,-4.5388408,0.9677153,19.3281415210728,0.1959481792666805,224336.81+191414.0,340.90341,19.237245
184,003600.52+001912.9,4221-55443-0857,9.0021941,0.32025187,1.093,20.410688759259266,0.2915384412263728,142350.04+550316.2,215.95847,55.054594
185,004319.69-012746.4,7869-57012-0845,10.83207,-1.4628942,0.9244115,20.292231139240503,0.5358794268867801,113843.38+370830.8,174.68077,37.141891
186,015105.54-101216.4,7183-56658-0090,27.773096,-10.204574,1.609,19.895472694805203,0.3514553036443176,021642.27-025843.2,34.176164,-2.978688
187,010535.69+023955.7,7859-57282-0558,16.398738,2.6654994,1.8058652,19.869049187499986,0.489535153339333,114832.56+370815.6,177.1357,37.137686
