N,SDSS_NAME,RA,DEC,MagAve,Sigma
590,125235.36+471922.5,193.14736,47.322939,19.66896286928105,0.3562885325586757
592,121729.19+373903.7,184.37165,37.651052,18.106142634551503,0.0981248417359162
594,003650.00+013103.9,9.208353,1.517755,17.899018685546867,0.9944054137406204
599,221625.26+210435.8,334.10529,21.076622,18.610896185393244,0.1681887177646353
603,223528.50+220020.7,338.86876,22.005754,17.761074904891313,0.1243946253723298
604,224615.45+215011.3,341.5644,21.836478,18.2733806957672,0.1627573860176129
605,001948.28+185506.3,4.951169,18.918439,18.434256324921133,0.148800986991599
606,013151.33+265911.7,22.963904,26.986604,19.379405729483285,0.2733149732058738
607,121139.73+520637.8,182.91556,52.110517,19.788333896296283,0.198486724619522
608,075943.36+331723.6,119.9307,33.289892,19.44822668253969,0.2693468194244963
613,224453.91+234329.8,341.22464,23.724953,18.86353008992807,0.2154661589154041
618,225343.70+195152.6,343.43209,19.86462,19.538325838283832,0.2645240126710195
622,000034.85-012630.6,0.145227,-1.441843,18.806550568181823,0.1748665941738524
626,165821.25+360705.4,254.58856,36.118171,18.919423658602145,0.1785291271380457
632,152715.54+353657.1,231.81478,35.615872,19.205934104089216,0.3113283876235841
634,122044.50+580155.3,185.18546,58.032109,19.92273901886793,0.414472028604592
635,221134.35+195135.4,332.89315,19.859857,18.78024298750001,0.2498982379399958
641,010941.44+002538.4,17.422684,0.42736,20.10928580851064,0.2542176808879473
646,125509.13+370913.2,193.78805,37.15369,20.49768770833333,0.214004980502927
657,224235.37+233309.6,340.64742,23.552688,18.02058817301037,0.1301032711355463
660,223438.45+193350.1,338.66024,19.56392,0.0,0.0
665,093125.73+454116.0,142.85721,45.687793,19.285757468992244,0.3162502530322891
667,230012.33+233527.0,345.05142,23.590834,18.907004843450483,0.1292844298261091
669,105515.39+503037.2,163.81416,50.510346,19.74829871875,0.2657084022036698
672,023339.51-033215.5,38.414658,-3.537656,17.542554669811324,0.4121940610096786
676,015354.82+044240.9,28.47842,4.711375,19.01699045414201,0.1811379336416381
680,111809.66+063917.3,169.5403,6.654822,18.53664143721973,0.1021778618717843
687,121731.09+303127.6,184.37956,30.52435,19.26847969565217,0.2399045614978744
689,001611.49+145601.6,4.047911,14.933788,19.63494908484848,0.2764351206897445
697,105223.76+641938.0,163.09904,64.327311,19.76984255555556,0.4382197988143319
701,220239.73+205102.4,330.66555,20.850673,0.0,0.0
703,141917.36+310923.2,214.82234,31.156452,17.41074657706092,0.0560931742621668
710,123109.16+652320.4,187.78811,65.389108,17.94053281818182,0.3535439314680881
711,075052.04+480345.6,117.71684,48.062765,18.898354870848703,0.2514649068577386
713,010341.18+024310.4,15.921597,2.719577,20.11685074285714,0.3324293190040254
716,134816.05+445502.1,207.06691,44.917256,20.085877690909083,0.3361746982712116
722,131621.34+232800.3,199.08893,23.466758,20.194532780000003,0.4160214209354913
725,224038.14+234457.1,340.15896,23.749195,18.747115461267605,0.1377263557057679
726,130128.83+584802.3,195.3702,58.80075,19.384903732323234,0.2036603778938946
727,232446.67+230626.7,351.19447,23.107437,19.14276202649007,0.2245407885890264
737,143120.39+012840.7,217.83495,1.477982,19.470766190031146,0.3572344547853904
741,102119.52+452654.7,155.33135,45.448535,18.98446723540856,0.2264339789748963
748,001834.94+270020.4,4.645602,27.005693,18.713421674796752,0.2285705008523886
754,080254.03+505636.2,120.72516,50.943409,0.0,0.0
755,141331.79+602615.4,213.38252,60.437676,18.80932907142857,0.1070241581850252
761,165028.63+434914.2,252.61932,43.820633,20.07164344041451,0.2570833312770466
767,084034.87+530553.5,130.14526,53.098243,20.2817403943662,0.272934419718347
772,115517.38+415315.6,178.82244,41.88768,0.0,0.0
776,010622.55-024612.5,16.593976,-2.770166,18.500239867469883,0.2082672043849441
777,013423.96+262025.8,23.599857,26.340527,19.5904347763158,0.2974447705890262
778,003302.77+162745.6,8.261563,16.462692,18.138970478915663,0.1232650061166238
782,215910.35+242124.4,329.79315,24.356802,18.95934480232557,0.334548389897105
790,235737.96+003227.8,359.40818,0.541067,18.816224126262615,0.2130068516203028
794,021041.37+264148.9,32.672381,26.696938,20.10862095522388,0.3009574049460504
795,093416.03+564354.9,143.56681,56.731944,19.102973049645392,0.1928863118546013
796,002410.51+261633.9,6.043819,26.276085,19.57042034496125,0.2646010978504765
801,080957.39+181804.4,122.48913,18.301229,17.74995873889636,0.0460886392912521
809,220843.93+263753.6,332.18308,26.631566,19.448224295302023,0.3106841228190812
811,231527.68+181944.4,348.86535,18.329006,0.0,0.0
813,090154.96+380534.5,135.47902,38.092913,17.720897689320385,0.0331839670988045
822,004903.27+060231.8,12.26366,6.042178,19.677765294759823,0.2762938075021577
824,223529.09+233729.5,338.87124,23.62487,19.03498475088967,0.1554170179484775
827,125136.23+473833.4,192.90098,47.642634,20.377116724137927,0.3671534908143695
828,153843.94+530835.7,234.68304,53.143318,19.402198757009348,0.5626889219226818
833,022804.36+010658.9,37.018185,1.116365,18.322988395498413,0.0375996149501886
834,164645.30+514159.4,251.68877,51.69986,0.0,0.0
838,003408.89+073033.4,8.537079,7.509284,18.449414866840723,0.2316261669457784
846,235115.57+204944.1,357.81491,20.828926,19.901254349397604,0.2253346335740779
850,120758.37+391630.6,181.99324,39.275192,19.844005465116272,0.398422192084825
858,015240.76+284754.6,28.169865,28.798513,18.921906866666657,0.1083775545167123
860,225315.85+035720.5,343.31608,3.955725,19.92046237368421,0.3667998164460946
863,004018.64-042559.5,10.077693,-4.433217,19.70132119607844,0.3557137122354011
871,022655.24+002211.1,36.730192,0.36975,20.14914374647887,0.3611682014311781
873,114657.40+321659.9,176.73919,32.283323,19.406869269162208,0.3645837396758304
878,025316.46+010759.8,43.318607,1.133278,18.713537831325294,0.1900828237378131
884,113709.49+390723.4,174.28958,39.123176,17.875432035294118,0.0404857201143228
888,105440.98-002048.4,163.67078,-0.346795,17.688238378109475,0.0664086600712184
895,123338.65+422238.3,188.41103,42.377291,17.929912852678576,0.1230619440879528
900,141249.21+510006.8,213.20507,51.001897,0.0,0.0
901,140406.76+431740.5,211.02816,43.294602,19.10731171162792,0.1749206507780075
902,161238.32+572759.3,243.15969,57.466503,19.70153432727272,0.3156979516468625
905,104657.59+435601.5,161.74,43.933762,18.218511834482765,0.0838958493916076
907,081812.00+244410.1,124.55002,24.736157,18.78915993613442,0.1489143652921036
911,134423.34+381703.3,206.09728,38.284258,19.55854102403847,0.2699288391816866
913,080333.51+552008.4,120.88968,55.335765,20.296668227272725,0.1921940159726134
920,081237.63+345629.4,123.15683,34.94151,0.0,0.0
923,022608.28-002332.5,36.534515,-0.392376,20.01934240909091,0.9664144231590304
930,125058.11+570921.5,192.74206,57.156007,17.586275179292926,0.0705066849770284
935,014135.09+010116.3,25.39621,1.021202,21.2177298,1.07421142947368
937,164514.64+531001.8,251.311,53.167193,19.99120208045976,0.2705834876998088
938,125633.69+573846.0,194.14043,57.646197,19.909744962499992,0.2618819791978331
953,163826.43+304853.3,249.61014,30.814813,19.664298101492545,0.2981903035754863
954,112139.49+601009.0,170.41454,60.169277,20.265867976744182,0.2912166315813883
958,091454.59+191017.8,138.72746,19.171633,0.0,0.0
967,081505.42+005520.5,123.77261,0.922365,18.400169911949696,0.3300498184848962
974,093416.02+441353.4,143.5668,44.231501,17.96424457750757,0.0794376166148483
977,091126.91+543814.8,137.86215,54.63746,20.431365069767445,0.3049667752952045
981,223000.09+184347.2,337.50041,18.729789,18.06241677836412,0.1596802431848697
985,012849.97-031338.3,22.208246,-3.227317,19.959581297872344,0.404242192212735
989,125528.82+271329.9,193.87011,27.224985,19.44544394426231,0.2384231833968435
992,210001.24-071136.3,315.00519,-7.193428,15.401441689320398,0.0978795870912035
995,011642.53-071312.8,19.177228,-7.220237,19.19285444765343,0.2326204342560726
1004,134808.77+422250.5,207.03658,42.380714,19.86749090517242,0.3627079476138987
1006,104639.75+443924.1,161.66565,44.656721,19.204537790076344,0.3694973330109646
1015,012432.49+200242.6,21.135404,20.045172,20.00128661538461,0.2597444864905239
1032,121930.99+535836.4,184.87913,53.976868,20.73406273333333,0.286225442186663
1039,123851.36+475731.0,189.71402,47.95863,20.028384522388063,0.4283369184697105
1050,153814.65+221730.3,234.56108,22.291774,19.93991578174603,0.2804434845923403
1054,090324.75+424912.5,135.85314,42.820161,0.0,0.0
1055,220846.33+240844.7,332.19305,24.145753,20.182694063829786,0.3759662411722653
